student_id,course_id,term,grade_letter,grade_value,student_rating
S1000,COURSE1010,Fall 2025,B+,3.3,
S1000,COURSE1028,Fall 2025,C+,2.3,5.0
S1000,COURSE1073,Fall 2025,D+,1.3,
S1000,COURSE1019,Spring 2025,D,1.0,4.0
S1000,COURSE1055,Spring 2025,B-,2.7,2.0
S1000,COURSE1064,Spring 2025,B+,3.3,3.0
S1000,COURSE1044,Spring 2025,B+,3.3,3.0
S1000,COURSE1093,Fall 2025,D,1.0,1.0
S1000,COURSE1075,Fall 2025,C-,1.7,
S1001,COURSE1011,Spring 2025,C,2.0,3.0
S1001,COURSE1056,Spring 2025,A,4.0,1.0
S1001,COURSE1047,Spring 2025,F,0.0,4.0
S1001,COURSE1038,Fall 2025,B+,3.3,
S1001,COURSE1074,Fall 2025,D,1.0,1.0
S1001,COURSE1083,Spring 2025,B-,2.7,3.0
S1001,COURSE1065,Fall 2025,D+,1.3,1.0
S1001,COURSE1021,Fall 2025,C,2.0,
S1001,COURSE1026,Fall 2025,A,4.0,2.0
S1001,COURSE1086,Spring 2025,B,3.0,2.0
S1002,COURSE1040,Fall 2025,B,3.0,
S1002,COURSE1085,Fall 2025,B+,3.3,
S1002,COURSE1022,Fall 2024,C+,2.3,5.0
S1002,COURSE1031,Fall 2024,C-,1.7,
S1002,COURSE1049,Fall 2023,B,3.0,3.0
S1002,COURSE1076,Fall 2025,A-,3.7,5.0
S1002,COURSE1013,Fall 2024,B,3.0,3.0
S1002,COURSE1004,Spring 2023,C,2.0,1.0
S1002,COURSE1094,Fall 2024,A-,3.7,4.0
S1002,COURSE1067,Spring 2025,A,4.0,4.0
S1002,COURSE1058,Spring 2025,C+,2.3,4.0
S1002,COURSE1008,Fall 2024,B+,3.3,4.0
S1002,COURSE1023,Fall 2025,A-,3.7,2.0
S1002,COURSE1027,Fall 2024,A-,3.7,3.0
S1002,COURSE1044,Spring 2025,C+,2.3,4.0
S1002,COURSE1017,Spring 2025,B,3.0,1.0
S1002,COURSE1068,Fall 2024,B,3.0,2.0
S1002,COURSE1042,Spring 2023,A,4.0,3.0
S1003,COURSE1032,Fall 2024,C,2.0,3.0
S1003,COURSE1059,Fall 2022,C,2.0,3.0
S1003,COURSE1077,Fall 2023,C,2.0,2.0
S1003,COURSE1086,Fall 2024,B-,2.7,2.0
S1003,COURSE1068,Spring 2024,D,1.0,
S1003,COURSE1095,Fall 2023,D,1.0,3.0
S1003,COURSE1005,Fall 2022,B-,2.7,
S1003,COURSE1014,Fall 2024,B-,2.7,
S1003,COURSE1023,Spring 2025,C,2.0,
S1003,COURSE1041,Fall 2024,C,2.0,2.0
S1003,COURSE1050,Fall 2022,A,4.0,4.0
S1003,COURSE1080,Fall 2022,C,2.0,5.0
S1003,COURSE1037,Fall 2022,A,4.0,
S1003,COURSE1069,Spring 2024,A,4.0,5.0
S1003,COURSE1004,Spring 2024,A,4.0,5.0
S1003,COURSE1045,Fall 2022,D,1.0,5.0
S1003,COURSE1049,Spring 2022,B+,3.3,
S1003,COURSE1083,Fall 2025,C-,1.7,2.0
S1003,COURSE1078,Spring 2025,B-,2.7,3.0
S1003,COURSE1074,Fall 2022,B,3.0,5.0
S1003,COURSE1053,Fall 2023,C,2.0,2.0
S1004,COURSE1046,Spring 2025,F,0.0,5.0
S1004,COURSE1064,Spring 2024,B+,3.3,2.0
S1004,COURSE1091,Fall 2024,A,4.0,4.0
S1004,COURSE1001,Spring 2024,B-,2.7,3.0
S1004,COURSE1055,Spring 2025,D,1.0,1.0
S1004,COURSE1073,Fall 2024,A,4.0,2.0
S1004,COURSE1037,Spring 2024,D+,1.3,1.0
S1004,COURSE1010,Spring 2024,F,0.0,
S1004,COURSE1019,Spring 2024,D+,1.3,4.0
S1004,COURSE1090,Spring 2024,C,2.0,3.0
S1004,COURSE1058,Spring 2025,C+,2.3,3.0
S1004,COURSE1056,Spring 2024,C+,2.3,2.0
S1004,COURSE1017,Spring 2024,C,2.0,4.0
S1004,COURSE1011,Spring 2024,C-,1.7,1.0
S1005,COURSE1020,Fall 2024,A,4.0,
S1005,COURSE1029,Fall 2025,C-,1.7,3.0
S1005,COURSE1056,Spring 2025,A,4.0,5.0
