course_id,course_code,course_name,department,description,level,difficulty,credits,avg_rating,rating_count,prerequisites,keywords
COURSE1000,ANTH 115,Macroeconomics,Social Sciences,This advanced level course covers topics in macroeconomics for social sciences students.,300,advanced,2,3.1,161,[],"[""sciences"", ""macroeconomics"", ""social""]"
COURSE1001,MECH 202,Control Systems,Engineering,This specialized level course covers topics in control systems for engineering students.,400,specialized,1,3.5,197,"[""COURSE1000""]","[""engineering"", ""systems"", ""control""]"
COURSE1002,BUS 389,Entrepreneurship,Business,This introductory level course covers topics in entrepreneurship for business students.,100,introductory,3,2.8,24,[],"[""entrepreneurship"", ""business""]"
COURSE1003,CIVIL 464,Circuit Design,Engineering,This introductory level course covers topics in circuit design for engineering students.,100,introductory,3,2.6,30,[],"[""circuit"", ""engineering"", ""design""]"
COURSE1004,CHEM 104,Organic Chemistry,Chemistry,This introductory level course covers topics in organic chemistry for chemistry students.,100,introductory,3,3.4,181,[],"[""chemistry"", ""chemistry"", ""organic""]"
COURSE1005,ANAT 278,Ecology,Biology,This introductory level course covers topics in ecology for biology students.,100,introductory,2,2.4,141,[],"[""biology"", ""ecology""]"
COURSE1006,STAT 354,Numerical Analysis,Mathematics,This intermediate level course covers topics in numerical analysis for mathematics students.,200,intermediate,3,3.1,33,"[""COURSE1004""]","[""geometry"", ""calculus"", ""discrete""]"
COURSE1007,BIOCHEM 441,Biochemistry,Chemistry,This introductory level course covers topics in biochemistry for chemistry students.,100,introductory,2,3.8,98,[],"[""biochemistry"", ""chemistry""]"
COURSE1008,SOC 101,Public Policy,Social Sciences,This specialized level course covers topics in public policy for social sciences students.,400,specialized,4,3.3,81,"[""COURSE1001""]","[""sciences"", ""social"", ""public"", ""policy""]"
COURSE1009,MATH 223,Graph Theory,Mathematics,This intermediate level course covers topics in graph theory for mathematics students.,200,intermediate,2,3.1,133,"[""COURSE1005""]","[""algebra"", ""optimization""]"
COURSE1010,ELEC 352,Circuit Design,Engineering,This introductory level course covers topics in circuit design for engineering students.,100,introductory,3,3.7,45,[],"[""design"", ""engineering"", ""circuit""]"
COURSE1011,POL 486,Political Theory,Social Sciences,This specialized level course covers topics in political theory for social sciences students.,400,specialized,3,2.7,101,"[""COURSE1000"", ""COURSE1002""]","[""political"", ""social"", ""theory"", ""sciences""]"
COURSE1012,CHEM 197,Physical Chemistry,Chemistry,This introductory level course covers topics in physical chemistry for chemistry students.,100,introductory,3,3.1,112,[],"[""physical"", ""chemistry"", ""chemistry""]"
COURSE1013,LIT 262,Design,Arts,This introductory level course covers topics in design for arts students.,100,introductory,2,3.1,181,[],"[""design"", ""arts""]"
COURSE1014,ANAT 332,Ecology,Biology,This specialized level course covers topics in ecology for biology students.,400,specialized,3,2.7,138,"[""COURSE1007""]","[""biology"", ""ecology""]"
COURSE1015,MECH 453,Thermodynamics,Engineering,This specialized level course covers topics in thermodynamics for engineering students.,400,specialized,3,3.0,153,"[""COURSE1008"", ""COURSE1002""]","[""engineering"", ""thermodynamics""]"
COURSE1016,CS 159,Computer Architecture,Computer Science,This intermediate level course covers topics in computer architecture for computer science students.,200,intermediate,4,2.8,153,"[""COURSE1005""]","[""AI"", ""programming""]"
COURSE1017,BIOCHEM 202,Biochemistry,Chemistry,This introductory level course covers topics in biochemistry for chemistry students.,100,introductory,4,3.3,46,[],"[""chemistry"", ""biochemistry""]"
COURSE1018,SOC 399,Introduction to Sociology,Social Sciences,This advanced level course covers topics in introduction to sociology for social sciences students.,300,advanced,3,3.4,42,"[""COURSE1009""]","[""social"", ""sociology"", ""sciences"", ""to""]"
COURSE1019,ECON 408,Management,Business,This advanced level course covers topics in management for business students.,300,advanced,3,2.5,70,"[""COURSE1007""]","[""management"", ""business""]"
COURSE1020,CIVIL 164,Fluid Dynamics,Engineering,This introductory level course covers topics in fluid dynamics for engineering students.,100,introductory,4,2.9,190,[],"[""dynamics"", ""fluid"", ""engineering""]"
COURSE1021,CIVIL 263,Mechanics,Engineering,This introductory level course covers topics in mechanics for engineering students.,100,introductory,2,3.4,170,[],"[""mechanics"", ""engineering""]"
COURSE1022,CIVIL 325,Thermodynamics,Engineering,This intermediate level course covers topics in thermodynamics for engineering students.,200,intermediate,3,3.3,182,"[""COURSE1011"", ""COURSE1003""]","[""thermodynamics"", ""engineering""]"
COURSE1023,PHYS 416,Particle Physics,Physics,This intermediate level course covers topics in particle physics for physics students.,200,intermediate,3,4.9,177,"[""COURSE1002"", ""COURSE1013"", ""COURSE1021""]","[""particle"", ""physics"", ""physics""]"
COURSE1024,ASTR 130,Optics,Physics,This advanced level course covers topics in optics for physics students.,300,advanced,3,2.7,56,"[""COURSE1023"", ""COURSE1015"", ""COURSE1003""]","[""optics"", ""physics""]"
COURSE1025,INFO 262,Distributed Systems,Computer Science,This specialized level course covers topics in distributed systems for computer science students.,400,specialized,3,2.9,110,"[""COURSE1013"", ""COURSE1005""]","[""AI"", ""security""]"
COURSE1026,ENGR 340,Mechanics,Engineering,This intermediate level course covers topics in mechanics for engineering students.,200,intermediate,4,1.9,161,"[""COURSE1020""]","[""mechanics"", ""engineering""]"
COURSE1027,ENGR 436,Fluid Dynamics,Engineering,This intermediate level course covers topics in fluid dynamics for engineering students.,200,intermediate,1,3.7,78,"[""COURSE1026"", ""COURSE1013"", ""COURSE1001""]","[""fluid"", ""dynamics"", ""engineering""]"
COURSE1028,CIVIL 152,Robotics,Engineering,This advanced level course covers topics in robotics for engineering students.,300,advanced,3,3.6,80,"[""COURSE1017""]","[""robotics"", ""engineering""]"
COURSE1029,CHEM 236,Biochemistry,Chemistry,This intermediate level course covers topics in biochemistry for chemistry students.,200,intermediate,4,2.8,182,"[""COURSE1015"", ""COURSE1013"", ""COURSE1003""]","[""chemistry"", ""biochemistry""]"
COURSE1030,ECON 385,Entrepreneurship,Business,This advanced level course covers topics in entrepreneurship for business students.,300,advanced,3,2.6,50,"[""COURSE1027""]","[""business"", ""entrepreneurship""]"
COURSE1031,ASTR 463,Quantum Mechanics,Physics,This introductory level course covers topics in quantum mechanics for physics students.,100,introductory,3,3.1,166,[],"[""quantum"", ""mechanics"", ""physics""]"
COURSE1032,ENGR 182,Signal Processing,Engineering,This advanced level course covers topics in signal processing for engineering students.,300,advanced,3,3.8,12,"[""COURSE1003""]","[""signal"", ""processing"", ""engineering""]"
COURSE1033,FIN 253,Business Strategy,Business,This introductory level course covers topics in business strategy for business students.,100,introductory,3,3.1,94,[],"[""business"", ""strategy"", ""business""]"
